,Title,Location,Company,Salary,Description,Link,apply Link,date
20,Python Developer,"Ahmedabad, Gujarat",TX Labs,"₹40,000 a month","We are looking for a Python Developer to join our team and help us develop and maintain various software products. Python Developer responsibilities include writing and testing code, debugging programs and integrating applications with third-party web services. To be successful in this role, you should have experience using server-side logic and work well in a team. Ultimately, you’ll build highly responsive web applications that align with our business needs. Responsibilities :Write effective, scalable codeDevelop back-end components to improve responsiveness and overall performanceIntegrate user-facing elements into applicationsTest and debug programsImprove functionality of existing systemsImplement security and data protection solutionsAssess and prioritize feature requestsCoordinate with internal teams to understand user requirements and provide technical solutions Requirements :Work experience as a Python DeveloperExpertise in at least one popular Python framework (like Django, Flask or Pyramid)Knowledge of object-relational mapping (ORM)Familiarity with front-end technologies (like JavaScript and HTML5)Team spiritGood problem-solving skillsJob Type: Full-timePay: Up to ₹40,000.00 per monthBenefits:Flexible schedulePaid sick timeSchedule:Day shiftExperience:Django: 1 year (Preferred)flask: 1 year (Preferred)python: 1 year (Preferred)Education:Bachelor's (Preferred)Speak with the employer+91 9316749089TodayReport job",https://in.indeed.com/jobs?q=python+developer&start=10,Default Indeed Apply,Today
21,Hiring Python-Django with postgresql (Backend developer),"Gurgaon, Haryana",HRinnovations,"₹15,000 - ₹20,000 a month","Hiring candidates for Python-Django backend developer.Minimum 1+ year experience requiredLocation-Gurgaonkindly call/whatsapp on 9769460342Job Type: Full-timeSalary: ₹15,000.00 - ₹20,000.00 per monthSchedule:Morning shiftExperience:Programming: 1 year (Preferred)work: 1 year (Preferred)total work: 1 year (Preferred)Education:Secondary(10th Pass) (Preferred)Speak with the employer+91 9769460342Just postedReport job",https://in.indeed.com/jobs?q=python+developer&start=10,Default Indeed Apply,Just posted
22,Python/Odoo Developer,"Pune, Maharashtra",TechSpawn Solutions,"₹3,00,000 - ₹8,00,000 a year","Urgently hiringPython / Odoo DeveloperJob Summary:We are currently recruiting for the Python/Odoo(OpenERP) Developer position in our company.This position will be responsible for developing and supporting enhancements to Odoo(OpenERP) modules, customer projects and their related integrations.The candidate should be able to work with functional business analysts, business process owners, and other technical team members for a given requirement or process, capable of executing requirement and design specification into development deliverable.Roles & Responsibilities: -Design, Development and testing of Odoo(OpenERP) addons, projects, products and interfaces.Interact with customers and provide guidance with Odoo(OpenERP) modules functionality.Ability to write maintainable application code that effectively and efficiently implements business requirements.Work with fellow developers to provide on-time and complete features, documentation and peer training.Participate in all phases of the Agile software development life cycle including technical analysis, design, development, testing, documentation, and deployment. -Studying and distributing help documents related to customizations, designs, and reports.He also looks into complex matters and decides the correct curative action.Reviewing codes and providing assistance to group members who have very little expertise.Taking part in the development of long reach strategies and aims. Enforcing architectural procedures for projects.Creating and making architecture and technical documents up to date for follow up and approval.Keeping himself up to date with the latest Odoo(OpenERP) versions.Listing all functional, technical, and operational data necessary for preparation.Required Experience, Skills, and QualificationsBachelors or Masters degree in Computer Science/Engineering (B.Tech/M.Tech/MCA).Strong 2+ years of experience in Odoo(OpenERP) Installation, Configuration, Customization, Development, Integration, and Migration.Sound knowledge of Python programming language.Broad knowledge of core technical areas of the business and accompanying functional modules of Odoo(OpenERP).Experience integrating Odoo(OpenERP) modules with various formats including flat-file (CSV), XML, and XML-RPC.Knowledge of core ERP components Customer Relationship Management, Supply Chain Management, Manufacturing Resource Planning, Human Resource Management, Project Resource Management and Finance Resource Management.""Hands-On experience with PL/SQL, Workflow and Python scripting.Ability to work with and enhance complex, highly integrated enterprise applications.Self-starter with a can-do attitude a must in a fast-paced business and technical environment.Ability to develop technical solutions to business requirements in complex projects, products, and modules environment. -Ability to learn and apply new trends and tecExpected Start Date: 1/2/2021Job Type: Full-timeSalary: ₹300,000.00 - ₹800,000.00 per yearBenefits:Flexible scheduleHealth insuranceWork from homeSchedule:Day shiftEvening shiftSupplemental Pay:Quarterly bonusYearly bonusExperience:work: 2 years (Preferred)total work: 2 years (Preferred)Odoo: 2 years (Preferred)Education:Bachelor's (Preferred)Speak with the employer+91 968968997514 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,Default Indeed Apply,14 days ago
23,Python Junior Developer,India,FULLSTACK TECHIES,"₹5,00,000 - ₹10,00,000 a year","Experience: 0 to 3 YearsLocation: India40 hours in a week workSalary: 5 Lacs to 10 Lacs INRNo of Positions: 10 NosIndustry: IT-Software / Software ServicesFunctional Area: IT Software – Application Programming, MaintenanceRole Category: Programming & DesignRole: Software DeveloperEmployment Type: Permanent Job, Full TimeWe hire Python Junior Developers with proven track record and elite industry background through a rigorous set of comprehensive screening processes .SCREENING PROCESS:Python Junior DeveloperTechnical Screening : In-depth technical skill review, demonstrated end-to-end involvement in delivery, problem solving skills, analytical thinking, creativity, and shortlist exceptionally result oriented talents.Language & Personality Traits: Conduct internationally approved English language and analytical tests from Cambridge University and qualify candidates. These tests ensure that candidates are able to read, write, and speak English extremely well. Also, the test includes personality traits, and communication skills — one-on-one interview.Mock test cases or projects (Optional for Junior Positions): 2 weeks to 4 weeks of 40 hours of live / mock project is mandatory for candidates to qualify before deploying on a Customer live project. At this screening process, candidates need to demonstrate their in-depth technical competence, professionalism, and integrity.If you’re a Python Junior Developer and no longer wanted to work as a typical employee in the investor vested service industry – with exceptional technical skills – yes, you are in the right place and the right candidate to explore FULLSTACK TECHIES.KEY VALUE PROPOSITION:Python Junior DeveloperYou will be eligible for 2 to 3 times of your current salary/emoluments if you are a qualified FULLSTACK DEVELOPER20 hours per week / 40 hours per week work options available and can be remote position that can be done from anywhere in the world.FULLSTACK TECHIES serve growing companies – small, medium and large enterprises — across and world, and this role is crucial as a Python Junior Developer.JOB DESCRIPTION:Python Junior DeveloperWe are looking for Python Junior Developers– Python developers who will be trained to develop and support web applications. The main scope of the project will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. As a Python Junior Developer, your primary responsibilities will be support – design and develop, maintain and enhance applications. Therefore, it’s essential that – as a Python Junior Developer — you are trained at problem solving, solution design, logical thinking and high-quality coding.RESPONSIBILITIES:Python Junior Developer:Willing to learn and support in delivering high-quality applicationInvolve in integrating with front-end developersHelp writing test-backed server-side codeAnalyzing requirements and designing new functionalitySupporting and fixing existing functionalityInvolve in designing and building application layersPRIMARY SKILLS:Python Junior Developer – Trained OR Willing to learnPythonDjangoREACTNODEExpressPythonScriptHTMLCSSDatabase optimizationAWS – EC2, RDS, SES, S3Familiarity with Agile Methodology, Test-Driven Development and software design patternsREQUIREMENTS:Python Junior DeveloperPositive attitude and excellent communication skillsOutstanding written skillsYou must be comfortable with technology systems and FULLSTACK TECHIES internal toolsConsistent focus to make stake holders experience delightful with the help of your deliverable and FULLSTACK TECHIES value proposition.A solid grasp of solution-centered approach.Must be a well-organized, composed, self-motivated world-class individual contributor or thriving to become so.Collaborative in nature and ability to leverage FULLSTACK TECHIES coders, developers, SME’s, CoE’s and leadership team to deliver outstanding results to End-Customer.FULLSTACK Techies, a part of Outsourcing Service Provider Inc. USA, started its operations in 2012 and have successfully delivered IT transformation projects for small, medium and enterprise customers across the world. We focus on serving companies for their challenging key projects which require supreme attention. FULLSTACK TECHIES consists of the top 10% of IT developers all over the world. Technical talents including Digital IT, Software engineering, Design & Digital Marketing professionals. FULLSTACK TECHIES was created by a group of full stack techies. With entrepreneurial spirit and passion to serve growing companies, a group of highly-skilled and experienced techies joined their hands together.Outsource Bigdata27 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,https://in.indeed.com/rc/clk?jk=1f500cc1686d05c5&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=3066c74996ac26ea&assa=7636,27 days ago
24,Python Developer,"Noida, Uttar Pradesh",Bluethink IT Consulting Pvt Ltd,"₹18,708 - ₹30,000 a month","· Work experience as a Python Developer for at least 2-3 years.· Expertise in at least one popular Python framework (like Django, Flask).· Knowledge of object-relational mapping (ORM).· Experience using Pycharm and visual studio.· Familiarity with front-end technologies (like JavaScript and HTML5).· Team spirit.Good problem-solving skillsJob Type: Full-timeSalary: ₹18,708.00 - ₹30,000.00 per monthBenefits:Commuter assistancePaid sick timePaid time offSchedule:Day shiftMonday to FridaySupplemental Pay:Overtime payPerformance bonusYearly bonusCOVID-19 Precaution(s):Remote interview processVirtual meetings4 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,Default Indeed Apply,4 days ago
25,Python Junior Developer,India,FullStackTechies,"₹5,00,000 - ₹10,00,000 a year","Experience: 0 to 3 YearsLocation: India40 hours in a week workSalary: 5 Lacs to 10 Lacs INRNo of Positions: 10 NosIndustry: IT-Software / Software ServicesFunctional Area: IT Software – Application Programming, MaintenanceRole Category: Programming & DesignRole: Software DeveloperEmployment Type: Permanent Job, Full TimeAbout FULLSTACK TECHIES:FULLSTACK Techies, a part of Outsourcing Service Provider Inc. USA, started its operations in 2012 and have successfully delivered IT transformation projects for small, medium and enterprise customers across the world. We focus on serving companies for their challenging key projects which require supreme attention.FULLSTACK TECHIES consists of the top 10% of IT developers all over the world. Technical talents including Digital IT, Software engineering, Design & Digital Marketing professionals.FULLSTACK TECHIES was created by a group of full stack techies. With entrepreneurial spirit and passion to serve growing companies, a group of highly-skilled and experienced techies joined their hands together.We hire Python Junior Developer with proven track record and elite industry background through a rigorous set of comprehensive screening processes .SCREENING PROCESS:Python Junior DeveloperTechnical Screening : In-depth technical skill review, demonstrated end-to-end involvement in delivery, problem solving skills, analytical thinking, creativity, and shortlist exceptionally result oriented talents.Language & Personality Traits: Conduct internationally approved English language and analytical tests from Cambridge University and qualify candidates. These tests ensure that candidates are able to read, write, and speak English extremely well. Also, the test includes personality traits, and communication skills — one-on-one interview.Mock test cases or projects (Optional for Junior Positions): 2 weeks to 4 weeks of 40 hours of live / mock project is mandatory for candidates to qualify before deploying on a Customer live project. At this screening process, candidates need to demonstrate their in-depth technical competence, professionalism, and integrity.If you’re a Python Junior Developer and no longer wanted to work as a typical employee in the investor vested service industry – with exceptional technical skills – yes, you are in the right place and the right candidate to explore FULLSTACK TECHIES.KEY VALUE PROPOSITION:Python Junior DeveloperYou will be eligible for 2 to 3 times of your current salary/emoluments if you are a qualified FULLSTACK DEVELOPER20 hours per week / 40 hours per week work options available and can be remote position that can be done from anywhere in the world.FULLSTACK TECHIES serve growing companies – small, medium and large enterprises — across and world, and this role is crucial as a Python Junior Developer.JOB DESCRIPTION:Python Junior DeveloperWe are looking for Python Junior Developers– Python developers who will be trained to develop and support web applications. The main scope of the project will include everything from back-end to client-side code, using optimal and efficient technologies, frameworks, and patterns. As a Python Junior Developer, your primary responsibilities will be support – design and develop, maintain and enhance applications. Therefore, it’s essential that – as a Python Junior Developer — you are trained at problem solving, solution design, logical thinking and high-quality coding.RESPONSIBILITIES:Python Junior Developer:Willing to learn and support in delivering high-quality applicationInvolve in integrating with front-end developersHelp writing test-backed server-side codeAnalyzing requirements and designing new functionalitySupporting and fixing existing functionalityInvolve in designing and building application layersPRIMARY SKILLS:Python Junior Developer – Trained OR Willing to learnPythonDjangoREACTNODEExpressPythonScriptHTMLCSSDatabase optimizationAWS – EC2, RDS, SES, S3Familiarity with Agile Methodology, Test-Driven Development and software design patternsREQUIREMENTS:Python Junior DeveloperPositive attitude and excellent communication skillsOutstanding written skillsYou must be comfortable with technology systems and FULLSTACK TECHIES internal toolsConsistent focus to make stake holders experience delightful with the help of your deliverable and FULLSTACK TECHIES value proposition.A solid grasp of solution-centered approach.Must be a well-organized, composed, self-motivated world-class individual contributor or thriving to become so.Collaborative in nature and ability to leverage FULLSTACK TECHIES coders, developers, SME’s, CoE’s and leadership team to deliver outstanding results to End-Customer.FULLSTACK Techies30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,https://in.indeed.com/rc/clk?jk=7b6bb88239051239&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=58ba819a9f38e416&assa=5627,30+ days ago
26,Intern Python Developer,Maharashtra,Quiesta Technologies,None,"Job DescriptionWe are looking for Python InternsSkills RequiredAre willing to learn new technologies and work on live projects.Having Knowledge of Python Unit tests, Python frameworks, SQL, ORM.Having Knowledge of HTML/CSS, JavaScript, Other CSS Preprocessors, JS frameworks, Bootstrap, RWD.QualificationGraduate / Post Graduate (Any stream).30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,https://in.indeed.com/rc/clk?jk=166c4a32328dbee9&from=vj&sjdu=clqjGI7njBe_AITyu_5h998B4m_sf5V9KipSDt55BSoLjKtouVppwdPHl793pfw6&mvj=0&vjfrom=vjs&pos=bottom&astse=00603da255890190&assa=7002,30+ days ago
27,Python Developer,"Ernakulam, Kerala",WAHY LAB SOLUTIONS,None,"QualificationBachelors/Master’s degree in Computer Science Engineering or a related subjectDesired Key skills1-2 years of working experience in Python developmentPassion for best design and coding practices and a desire to develop new bold ideasJob descriptionWrite “clean”, well designed codeProduce detailed specificationsTroubleshoot, test and maintain the core product software and databasesDevelop and deploy new features to facilitate related procedures and tools if necessaryInterested candidates may apply by mailing their resume on hr@wahylab.com or by filling application form.30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,https://in.indeed.com/rc/clk?jk=bb9296b3cad8a1c6&from=vj&sjdu=uZcFbk7ArORYENxfbS_g0FmP704VMj1wEt2wvDlcXvLO_XA2iijS_auLaIEOUci9&mvj=0&vjfrom=vjs&pos=bottom&astse=15cf77f7b4638479&assa=8456,30+ days ago
28,Python Developer,"Kochi, Kerala",Edensoftwares,None,Python DeveloperVacancy : 10Description : Design and develop interactive applications Design and develop interactive applications Be part of the Python application development life cycle Identify technical issues and resolve them Interpret ideas and suggestions into working models Work independently or in a team to meet deadlines Candidate Profile : BE/B.Tech or MCA with good academic track record. Skills Required : Experience in Python application development and design 2+ years experience preferred Working knowledge in the different architectures and APIs Familiarity with frameworks and algorithms and experienced working in odoo software.Position open for Kochi location. Interested candidates can send there resume : hr@edensoftwares.com30+ days agoReport job,https://in.indeed.com/jobs?q=python+developer&start=10,Default Indeed Apply,30+ days ago
29,Python Developer,"Mumbai, Maharashtra",Pearl Headhunters - Pharma IT,"₹3,00,000 - ₹4,50,000 a year","Urgently hiringWe are hiring Python Programmer / Data Indexing ProgrammerCompany Type : U.S Based MNC Company, Pharmaceutical IT IndustryWork Type: 100% Work from HomePayment Type: Salary will be made on hourly basisExperience Required: 1 - 2 Years of experience in Web Data Extracting DomainSalary Budget: Max budget is Rs. 4,50,000/- PA so candidates whose current CTC is above that please ignore this job opening as it will not be considered.Desired Candidate:Candidate should know Python Program properly.He / She should have experience in Web Data ExtractingSince it is work from home, the candidate should have laptop with good internet connectionExpected Start Date: 10/2/2021Job Types: Full-time, ContractSalary: ₹300,000.00 - ₹450,000.00 per yearSupplemental Pay:Yearly bonusExperience:Python: 2 years (Required)Education:Bachelor's (Required)Language:English (Required)Application Question:What is your notice period?Work Remotely:YesCOVID-19 Precaution(s):Virtual meetings7 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=10,Default Indeed Apply,7 days ago
30,Jr. Odoo Developer,Gujarat,odoo,None,"401 & 402, 4th Floor, IT Tower 3, InfoCity, Gandhinagar 382007, Gujarat GJ, IndiaAs a developer, you will lead and participate in development projects for our product, and be involved in all development-related aspects of our technical operations and infrastructure.ResponsibilitiesAble to identify the requirement and propose a good alternative solution to client requirementDesign and develop Odoo apps(new module development, customisation).Develop application/features that affect everyday life.Must-HaveOdoo framework knowledgeStrong knowledge of Python and programming conceptsKnowledge of Linux flavoured operating systemMinimum 1 year of experience as Odoo developerNice to HaveContribution to Open Source ProjectsInterest in enterprise application developmentTechno-functional expertiseBenefitsWork with global product and teamAttractive PackageGet the package that is best in industry with great work satisfactionPaid Leaves5 Days working a week, 12 paid leaves and public holiday as per the IT IndustryPrime LocationGreat working environment, Get easy connectivity for the transportationSponsored EventsMonthly Lunch Mixers, Monthly Happy Hour, Annual day event, Team Building EventsEat & DrinkFree Tea / Coffee and snacks are available at OfficeContinuous LearningContinuous training, 8hrs every month to stay updated with the product and technologyWhat's great in the job?You develop an Open Source Software and interact with the communityGreat team of very smart people, in a friendly and open cultureSupport of a real usability and testing teamHave the time to focus on quality, refactoring and testing (no customer deadlines)No dumb managers, no stupid tools to use, no rigid working hoursNo waste of time in enterprise processes, real responsibilities, and autonomyNo solution architect, no business analysts, no Gantt chart30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=20,https://in.indeed.com/rc/clk?jk=48471bb17ff814d5&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=b4f67e86562806cc&assa=4711,30+ days ago
31,Python Backend Developer - Remote India,"Bhopal, Madhya Pradesh",Vamstar,"₹7,00,901 - ₹10,00,000 a year","Are you interested in working in healthcare / medical sectors for a disruptive VC backed start-upthat collaborates with leading Universities that has won several UK research grants?Vamstar is a data science powered B2B healthcare marketplace that helps suppliers find the most relevant healthcare contracting leads using Artificial Intelligence (AI). We apply real-time machine learning forecasts, analyse buyers and competitor behaviours, and perform analytics at scale.We are looking for a full-time remote Senior Backend Developer who has worked with big data and stream processing, to solve big technical challenges at scale that will reshape the healthcare industry for generations. You will get the opportunity to be involved in the big data engineering, novel machine learning pipelines and highly scalable backend development. The successful candidates will be working in a team of highly skilled and experienced developers, data scientists and CTO.Job RequirementsWriting well tested, readable code using Python that is capable of processing large volumes of dataExperience with cloud platforms such as GCP, Azure or AWS are essentialThe ability to work to project deadlines efficiently and with minimum guidanceA positive attitude and love working within a global distributed teamSkillsHighly proficient working with PythonComfort working with large data sets and high velocity data streamsExperienced with microservices and backend servicesGood relational and NoSQL database working knowledgeAn interest in healthcare and medical sectorsTechnical degree with minimum of 2 plus years’ backend data heavy development or data engineering experience in PythonDesirable ETL/ELTDesirable Apache Spark and big data pipelines, and stream data processing (e.g. Kafka, Flink, Kinesis, Event Hub)Reference ID: INDEED-PyJob Type: Full-timeSalary: ₹700,901.00 - ₹1,000,000.00 per yearExperience:total work: 2 years (Required)python: 2 years (Required)AWS: 1 year (Required)Education:Bachelor's (Preferred)Benefits:Work from homeWork Remotely:Yes17 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=20,Default Indeed Apply,17 days ago
32,Python Developer,"Thiruvananthapuram, Kerala",Muskaan Parveen (Proprietor Of Muskan Industry),"₹3,50,000 - ₹4,59,999 a year","1. Expertise in Core Python2. Sound Knowledge of Web Frameworks3. Object Relational Mappers4. Skills of Data Scientists5. Artificial Intelligence and Machine Learning Skill6.Should have experience in working on image processing and raspberry piPart-time hours: 10 per weekJob Types: Full-time, Part-time, Commission, FresherSchedule:Evening shiftFlexible shiftMonday to FridayMorning shiftNight shiftWeekendsSupplemental Pay:Commission payJoining bonusOvertime payPerformance bonusQuarterly bonusShift allowanceYearly bonusExperience:work: 1 year (Preferred)total work: 1 year (Preferred)Python: 1 year (Preferred)Education:Bachelor's (Preferred)WHATSAPP YOUR CV ON 72-528-887-96 HR TEAM0.00-4.00 YearsDiplomaMonster IN30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=20,https://in.indeed.com/rc/clk?jk=84361fce4f1284ac&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=062b9cf789ec40c9&assa=2738,30+ days ago
33,Python Developer,"Chennai, Tamil Nadu",foyer technologies,"₹2,59,048 - ₹12,43,691 a year","have to code strongly and precisely. should be a team player. must be motivated by himself.Job Type: Full-timeSalary: ₹259,048.00 - ₹1,243,691.00 per yearBenefits:Flexible scheduleFood allowanceHealth insuranceSchedule:Day shiftExperience:work: 1 year (Preferred)total work: 1 year (Preferred)Python: 1 year (Preferred)Education:Bachelor's (Preferred)Work Remotely:NoJust postedReport job",https://in.indeed.com/jobs?q=python+developer&start=20,Default Indeed Apply,Just posted
34,Python with Machine Learning,"Ernakulam, Kerala",Smart And Prompt Hr Services Private Limited,None,"We are looking for one of the digital solutions,What makes us different and the most sought after is how we incorporate emerging technologies into our modus operandi. We are looking for Python Developer with Machine Learning3.00-6.00 YearsMonster IN30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=20,https://in.indeed.com/rc/clk?jk=43dd358e23dabd61&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=396b9fc43cec759c&assa=550,30+ days ago
35,Python Developer,"Pune, Maharashtra",Turnera Tech Private Limited,"₹15,000 - ₹50,000 a month","We need a Python developer to create a GUI based product suite. Candidate should be a self-starter, ready to learn and have good programming skills.Job Type: Full-timeSalary: ₹15,000.00 - ₹50,000.00 per monthBenefits:Flexible scheduleWork from homeSchedule:Monday to FridayExperience:work: 1 year (Preferred)total work: 1 year (Preferred)Python: 1 year (Preferred)Education:Bachelor's (Preferred)Work Remotely:Temporarily due to COVID-19COVID-19 Precaution(s):Remote interview processVirtual meetings17 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=20,Default Indeed Apply,17 days ago
36,Python Developer,"Bengaluru, Karnataka",RightHire,None,"ALL through Python3:1. You shall be required to fetch data from data sources (databases, APIs, flat files, filesystems etc)2. You shall be required to create Pandas dataframes and / or Numpy arrays3. You shall be required to code complex data analysis and data manipulation logic4. You shall be required to work deep on SQL, slice & dice and data transformations on dataframes and/or arrays5. You shall be required to upsert data to data sources (databases, APIs, flat files, filesystems etc)6. You shall be required to build data pipelines.Job Type: Full-timeSchedule:Day shiftExperience:Numpy / Pandas: 1 year (Preferred)Python 3: 1 year (Preferred)Data Analysis : 1 year (Preferred)Work Remotely:Yes4 days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=20,Default Indeed Apply,4 days ago
37,Computer Vision Research Engineer - Machine Learning,"Bengaluru, Karnataka",Mercedes-Benz Research and Development India Priva...,None,"AufgabenSummary:The research engineer will work with a dynamic team of programmers and algorithm developers to realize in-cabin environment perception using computer vision algorithms for Mercedes-Benz cars.Necessary Skills:Proficient in at least two of Python, MATLAB.Industry/academic experience with machine learning and computer vision programming using libraries such as PyTorch, TensorFlow, OpenCV, CaffeStrong project experience involving algorithm development for computer vision applications.Demonstrated past algorithm development in at least one area within machine learning like neural networks, clustering, object tracking.Experience with object classification, gesture recognition or human pose estimation and training deep neural networks using synthetic and artificial data.Strong background and understanding of mathematical concepts relating to probabilistic models, conditional probability, numerical methods and linear algebra.Self-motivated individual with passion towards state-of-the-art computer vision technologies.Clear communication skills (English)QualifikationenBasic Education:Masters/Doctorate in Computer/Electronics Engineering with strong programming and scripting skills.Years of experience: 0 to 5 YearsNice to have:Degree from premier institutes in Europe/USA or India (IITs/NITs/IIITs)Experience with computer vision application development on the lines of gesture recognition, human gaze recognition, semantic segmentation, depth from stereo, object detection and tracking.Experience working with synthetic and artificial data to solve real world problems.Exposure to neural network libraries like Caffe, PyTorch, Theano or TensorFlow.Daimler AG30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=20,https://in.indeed.com/rc/clk?jk=6368a25c0eaf04fb&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=eb2aa6aa674e7600&assa=5088,30+ days ago
38,"Software Engineer, University Graduate, 2021 Start","Bengaluru, Karnataka",Google,None,"Due to the current health crisis related to COVID-19 and the escalating visa/travel restrictions in place, we're currently unable to extend offers to anyone who cannot work from India due to lockdown visa/travel restrictions, or other restrictive measures until further notice. Consequently, we will be prioritizing candidates who can start in this location by set date as expected. We're keeping the situation under review and would adjust our position should the restrictive measures be removed later on.Note: By applying to this position your application is automatically submitted to the following locations: Bengaluru, Karnataka, India; Hyderabad, Telangana, IndiaMinimum qualifications:Bachelor's degree or equivalent practical experience.Experience working with Unix/Linux, Windows or Mac environments, distributed systems, machine learning, information retrieval and TCP/IP.Experience programming in C, C++, Java or Python.Preferred qualifications:Master's degree or PhD.About the jobGoogle's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. Our products need to handle information at massive scale, and extend well beyond web search. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google’s needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.As a key member of a small and versatile team, you design, test, deploy and maintain software solutions.If you're interested in this University Graduate position, try out Kick Start.Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, engineers not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another.ResponsibilitiesResearch, conceive and develop software applications to extend and improve on Google's product offering.Contribute to a wide variety of projects utilizing natural language processing, artificial intelligence, data compression, machine learning and search technologies.Collaborate on scalability issues involving access to massive amounts of data and information.Solve challenges/problems that you are presented with.Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form.30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=20,https://in.indeed.com/rc/clk?jk=9f4a126d9e028a79&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=fa15b2881619eb28&assa=6528,30+ days ago
39,Python Developer,"Nellore, Andhra Pradesh",Computer Engineer,"₹17,000 - ₹25,000 a month","Job SummaryPublished on : 6 days agoVacancy : 5Employment Status : Full TimeExperience : 0 - 2 YrsSalary : 17000-25000Interview Venue : nelloreResponsibilitiesIntegration of user-facing elements developed by front-end developers or using a templateBuild efficient, testable, and reusable modulesSolve complex performance problems and architectural challengesIntegration of data storage solutionsRequirementsProficient in PythonGood understanding of object-oriented paradigmsUnderstanding of server-side applicationsGood understanding of REST APIs standardsExperience with Django and Flask frameworkExperience building WebSocket-based applicationsStrong software engineering skillsExperience with MySQL and MongoDBExperience with Redis and/or other in-memory key/value storesJob Type: Full-timeExperience:work: 0-2 years (Preferred)Education:Bachelor's (Preferred)WHATSAPP YOUR CV ON {{ 72-528887-94 }} HR TEAMSkillsInformation Technology , Symbian C++ , Sr. Information Analyst , AWS Support , Python Scripting , Python ,QualificationsMaster in Software EngineeringJobsOmega30+ days agoReport job",https://in.indeed.com/jobs?q=python+developer&start=20,https://in.indeed.com/rc/clk?jk=bbae324ac4d2b8df&from=vj&mvj=0&vjfrom=vjs&pos=bottom&astse=781088736fa1f824&assa=8213,30+ days ago
